,title_tag_text,top_menu_items,all_paragraph_contents,all_urls,attribute_names,attribute_values
42,New Title,New Content,New Content,https://pandas.pydata.org/,New Content,New Content
43,New Title,New Content,New Content,https://ipython.org/,New Content,New Content
44,New Title,New Content,New Content,https://buildbot.net/,New Content,New Content
45,New Title,New Content,New Content,https://trac.edgewall.org/,New Content,New Content
46,New Title,New Content,New Content,https://www.roundup-tracker.org/,New Content,New Content
47,New Title,New Content,New Content,https://docs.ansible.com/,New Content,New Content
48,New Title,New Content,New Content,https://saltproject.io/,New Content,New Content
49,New Title,New Content,New Content,https://www.openstack.org/,New Content,New Content
50,New Title,New Content,New Content,https://xon.sh/,New Content,New Content
51,New Title,New Content,New Content,http://brochure.getpython.info/,New Content,New Content
52,New Title,New Content,New Content,https://docs.python.org/3/license.html,New Content,New Content
53,New Title,New Content,New Content,https://wiki.python.org/moin/BeginnersGuide,New Content,New Content
54,New Title,New Content,New Content,https://docs.python.org/3/faq/,New Content,New Content
55,New Title,New Content,New Content,https://translations.python.org/,New Content,New Content
56,New Title,New Content,New Content,https://peps.python.org,New Content,New Content
57,New Title,New Content,New Content,https://wiki.python.org/moin/PythonBooks,New Content,New Content
58,New Title,New Content,New Content,https://wiki.python.org/moin/,New Content,New Content
59,New Title,New Content,New Content,http://pyfound.blogspot.com/,New Content,New Content
60,New Title,New Content,New Content,http://pycon.blogspot.com/,New Content,New Content
61,New Title,New Content,New Content,http://planetpython.org/,New Content,New Content
62,New Title,New Content,New Content,https://wiki.python.org/moin/PythonEventsCalendar#Submitting_an_Event,New Content,New Content
63,New Title,New Content,New Content,https://devguide.python.org/,New Content,New Content
64,New Title,New Content,New Content,https://github.com/python/cpython/issues,New Content,New Content
65,New Title,New Content,New Content,https://mail.python.org/mailman/listinfo/python-dev,New Content,New Content
66,New Title,New Content,New Content,https://github.com/python/pythondotorg/issues,New Content,New Content
67,New Title,New Content,New Content,https://status.python.org/,New Content,New Content
68,New Title,New Content,New Content,https://policies.python.org/python.org/Privacy-Notice/,New Content,New Content
